-16092,-3103,-11391
-14067,-682,-11485
-11393,2629,-10051
-7502,4135,-8856
-3050,5072,-7857
3086,6931,-5957
7741,8425,-5106
9223,8434,-5799
9557,7626,-7211
9117,6297,-8728
7987,4966,-9746
6437,3745,-10219
4848,2645,-10686
3319,1656,-10205
743,1211,-8597
-1630,173,-6739
-2972,-2215,-5318
-4550,-5606,-4356
-6793,-8214,-3729
-1,-1,2148
-9623,-9739,-3182
-12337,-11003,-3134
-13211,-11871,-3852
-11419,-10510,-4790
-8327,-6666,-4713
-4442,-2822,-4318
-2027,-805,-3211
-657,-315,-2224
371,-257,-1504
1148,55,-713
1731,577,55
2055,693,609
2267,450,784
2301,192,778
2214,-17,782
2139,-155,831
2086,-275,928
2059,-428,1029
2006,-517,1241
1821,-403,1591
1564,-172,1980
1331,-8,2339
1002,53,2700
645,-21,3081
1099,288,3099
2153,706,3222
2999,1579,3856
3529,2759,4724
3671,3829,5380
3175,4395,5680
1215,2757,5524
-121,1280,7347
893,1147,9205
3143,1618,11172
5791,2433,12731
7978,2827,13465
9434,2480,13404
9062,1606,13041
7748,-532,11726
6554,-3268,10290
4819,-4870,8835
2607,-5928,7467
222,-5732,6268
-1688,-3659,5281
-2755,-516,4720
-2855,1688,4388
-1768,1371,3780
121,709,3245
1911,1100,3341
3581,1512,3697
5187,1251,3820
6404,462,3787
6963,-505,3688
6777,-1340,3609
6002,-1926,3592
4907,-2160,3658
3623,-1971,3777
2301,-1458,3972
1268,-827,4096
665,-212,4003
215,330,3786
-260,578,3472
-674,571,2520
-1207,115,1823
-1610,-393,1099
-1882,-708,386
-2065,-767,-304
-2311,-672,-1025
-2795,-509,-1841
-3512,-277,-2746
-4467,82,-3735
-5881,778,-4822
-7801,1838,-5942
-9301,2759,-6634
-10445,2959,-7330
-10884,2103,-8387
-10957,784,-9572
-10974,-116,-10417
-10942,81,-10550
-10409,1443,-9966
-8596,3041,-9044
-5984,3856,-8234
-3353,4148,-7662
-1231,4559,-7177
344,4822,-6867
-1,-1,2149
-1085,1707,-6639
-9550,-2586,-4438
-10601,-3680,-4235
-10536,-4456,-4677
-10241,-3792,-4782
-9081,-2071,-4659
-7131,-380,-4503
-5111,880,-4071
-3346,1530,-3257
-1900,1854,-2181
-292,1740,-1313
1293,1025,-846
2555,338,-592
3610,88,-406
4229,-19,-36
4669,-63,274
4820,-306,586
5016,-781,767
5357,-1150,1123
5699,-1029,1846
5847,-482,2854
5645,329,4014
5056,1353,5188
4085,2440,6201
2628,3321,6981
634,3598,7433
-1057,3295,7248
-2572,2041,6827
-3710,-1292,5483
-2882,-4371,3687
-2607,-4656,3189
-1898,-3788,3598
-120,-3379,3830
2250,-3139,3895
4460,-2495,4321
6611,-1805,4937
8856,-1426,5400
10752,-1092,5829
11694,-726,6315
11870,-709,6691
11481,-926,6852
10675,-1326,6785
9806,-2005,6513
8876,-2872,6179
7981,-3464,5986
7549,-3465,6071
7183,-2863,6295
6426,-1705,6563
5144,-155,6759
3424,1466,6815
1474,2778,6677
-510,3534,6413
-2288,3546,6164
-3781,2403,5840
-4684,-196,5123
-4064,-2626,4413
-3247,-3562,3922
-2164,-2927,3860
-970,-1652,4033
243,-715,4208
1569,-403,4188
3059,-283,4096
4454,9,3972
5797,366,3793
6889,594,3330
7596,630,2289
8112,-108,951
8113,-1631,-697
7413,-3490,-2229
5874,-4740,-3262
3621,-4693,-3880
822,-3569,-4354
-2134,-2096,-5095
-4828,-611,-6276
-7609,1027,-7633
-10886,2717,-8542
-13010,3836,-9223
-12590,3650,-10203
-11038,1569,-11513
-10780,-1654,-12479
-12159,-3431,-12644
-14313,-2745,-11758
-14575,-477,-10367
-13037,902,-8298
-10137,1833,-6289
-6644,3445,-4059
-2586,5614,-1878
1312,7604,-202
4777,8937,411
6325,8389,-678
6940,6115,-3194
6976,3669,-5594
6403,2100,-6994
4746,1555,-7434
2456,1434,-7146
244,1240,-7247
-1928,-23,-6684
-4226,-1664,-6434
-6711,-3421,-5990
-1,-1,2150
-12093,-4938,-4684
-15933,-3266,-3554
-16559,-1305,-2893
-16456,-1132,-3470
-14411,-1798,-4841
-12625,-661,-5059
-10447,685,-4705
-8345,938,-3855
-6264,980,-2648
-3829,850,-1374
-902,717,-509
2291,718,28
5307,580,258
7724,418,501
9771,178,656
11746,-113,315
13483,-867,-106
15221,-1781,-342
16323,-1887,213
16059,-746,1522
14402,1441,3177
12036,3643,4835
9940,5169,6244
8139,6280,6914
5824,6928,7066
2373,6810,6781
